WKT_GEOM;ID_PISTA;BIDI;CIRCOSCRIZ;DATA_ESECU;DATA_ORDIN;DATA_RILIE;DENOMINAZI;DIREZIONE;DIREZIONE_;LOCALIZZAZ;LUNG_M;MONO;N_ORDINANZ;N_PROTOCOL;PUMS;RIFER_PIAN;RILIEVO_TR;SEGNALETIC;SEMAFORO;SEZIONE_M;STATO_CONS;TRACCIATO
LINESTRING (1398935.453611 4994249.563449,1398943.93322 4994260.961838,1398952.70522 4994271.775718,1398967.032842 4994261.254126,1399021.496403 4994317.526741,1399074.823378 4994261.104949);61;X;6;;;;PIAZZA SOFIA;B;Bidirezionale;BANCHINA OVEST E ATTRAVERSAMENTO PIAZZA;202;;4698;522 P;;;;;;0;;PIAZZA SOFIA
LINESTRING (1397438.932429 4995259.884542,1397638.521097 4995192.537272,1397724.552147 4995155.878231,1397747.117688 4995122.744141,1397768.204637 4995110.839687,1397793.524213 4995114.845265);60;X;6;;;;VIA BOTTICELLI;B;Bidirezionale;LATO SUD DELLA VIA;394;;4608;510 P;;2-V;;;;3;;DA P.ZZA REBAUDENGO A P.ZZA DERNA
LINESTRING (1397324.039915 4995284.516892,1397123.106531 4995301.082088,1397086.901772 4995286.523761,1397014.467472 4995194.658241);58;X;6;;;;CORSO GROSSETO;B;Bidirezionale;LATO SUD DEL CORSO;368;;4606;508 P;X;2-V;;;;3;;PIAZZA REBAUDENGO - GROSSETO - BOCCHERINI
LINESTRING (1392671.745289 4985067.202408,1392649.072664 4984960.553525,1392614.453641 4984968.149121,1392608.543093 4984950.00406,1392600.943784 4984947.050226,1392509.330115 4984969.41506,1392502.152997 4984968.993069,1392502.575187 4984962.663411,1392529.172711 4984956.333753,1392528.750521 4984950.848042,1392489.90971 4984949.160112,1392453.179793 4984907.384314);91;X;10;;;;STRADA CASTELLO DI MIRAFIORI;B;Bidirezionale;PERCORSO NELL'AREA DEL MAUSOLEO DELLA BELA ROSIN;407;;3741;494 P;;;;;;3;;DA STRADA DELLE CACCIE A CONFINE COMUNE DI NICHELI
LINESTRING (1401585.03043 4994688.137914,1401596.450435 4994678.625862,1401617.006511 4994672.918625,1401644.033893 4994676.342946,1401782.596894 4994707.542543);64;X;6;;;;VIA MONTE TABOR;B;Bidirezionale;LATO SUD DELLA VIA;205;;2633;333 P;;5-V;;X;;3;;LUNGO LA VIA
LINESTRING (1395468.103051 4991308.769211,1395742.469586 4991841.875442);18;;1;;;;CORSO GALLILEO FERRARIS;M;Monodirezionale;TORINO CENTRO;600;X;1741;371;X;;;X;X;2;;DA VIA CERNAIA A CORSO MATTEOTTI
LINESTRING (1394265.993789 4987623.084508,1394384.767978 4987907.75372,1394419.012842 4987986.077442,1394555.608309 4988246.616227);170;X;9;;;;VIA GIORDANO BRUNO;B;Bidirezionale;MARCIAPIEDE LATO EST;688;;0;;;;;;;3;;DA CORSO SEBASTOPOLI A VIA MADONNA DELLE ROSE
LINESTRING (1391801.566257 4995791.011546,1391781.926527 4995799.470023,1391767.719461 4995810.027768,1391749.107208 4995829.35481,1391292.072514 4995849.411353,1391287.634561 4995858.885779,1391284.937951 4995865.176735,1391280.443574 4995867.27372,1391150.57439 4995858.440489,1391144.455989 4995913.496167);113;X;5;;;;STRADA DELLE VALLETTE;B;Bidirezionale;TUTTA LA CARREGGIATA DELLA STRADINA DI CAMPAGNA;731;;0;;;;;X;;4;;DA VIA DELLE PRIMULE A CONFINE TORINO
LINESTRING (1396177.997862 4993230.700862,1396316.692647 4993092.751812,1396359.232859 4993060.246152,1396447.650866 4992983.708333,1396504.41109 4992929.750648,1396515.228222 4992899.483346);109;X;7;;;;LUNGO DORA AGRIGENTO;B;Bidirezionale;LATO SUD/OVEST DELLLA SPONDA DORA;477;;0;;;;;X;;3;;DA BORGO DORA A VIA CIGNA
LINESTRING (1397286.06387 4991285.777244,1397477.415089 4991180.078305,1397488.516244 4991176.634794);129;;1;;;;VIA VERDI;M;Monodirezionale;LATO SUD DEL TRATTO DI VIA;230;X;0;;;;;;;2;;DA ROERO DI CORTANZE A CORSO SAN MAURIZIO
LINESTRING (1400300.130182 4994249.674045,1400297.3816 4994255.234546,1400274.152295 4994250.110775,1400270.94826 4994251.711939,1400269.422982 4994254.462412,1400269.826844 4994258.116671,1400271.105882 4994261.061047,1400286.579786 4994273.584113,1400288.797525 4994275.403765,1400290.950632 4994277.299451,1400293.036503 4994279.268877,1400295.052613 4994281.309661,1400296.996523 4994283.419332,1400298.86588 4994285.595337,1400300.658422 4994287.835045,1400302.371981 4994290.135743,1400304.004482 4994292.494649,1400305.553951 4994294.908907,1400307.018511 4994297.375597,1400308.396392 4994299.891733,1400309.685925 4994302.454271,1400310.885551 4994305.06011,1400311.993817 4994307.706096,1400313.009382 4994310.389028,1400313.931018 4994313.105659,1400314.757609 4994315.852702,1400315.488156 4994318.626832,1400316.121773 4994321.424693,1400316.657694 4994324.242899,1400317.095271 4994327.07804,1400317.433975 4994329.926684,1400317.673395 4994332.785386,1400317.813241 4994335.650685,1400317.853345 4994338.519115,1400317.793658 4994341.387204,1400317.634252 4994344.251481,1400317.37532 4994347.108482,1400317.017175 4994349.954748,1400316.560251 4994352.786835,1400316.005101 4994355.601316,1400315.352396 4994358.394786,1400314.602927 4994361.163864,1400313.757599 4994363.905199,1400312.817437 4994366.615474,1400311.783578 4994369.291409,1400310.657272 4994371.929767,1400309.439883 4994374.527355,1400308.132884 4994377.081029,1400306.737857 4994379.587699,1400305.256489 4994382.044332,1400303.690573 4994384.447955,1400302.042004 4994386.79566,1400300.312777 4994389.084605,1400298.504985 4994391.312022,1400296.620815 4994393.475214,1400294.662547 4994395.571563,1400292.63255 4994397.598534,1400290.533282 4994399.553673,1400288.367282 4994401.434615,1400286.137171 4994403.239083,1400283.845649 4994404.964894,1400281.495488 4994406.609959,1400279.089532 4994408.172288,1400276.630692 4994409.64999,1400274.121944 4994411.041277,1400271.566323 4994412.344465,1400268.966923 4994413.557978,1400266.326888 4994414.680347,1400263.649413 4994415.710214,1400260.937739 4994416.646333,1400258.195146 4994417.48757,1400255.424953 4994418.232909,1400252.630513 4994418.881446,1400249.815207 4994419.432398,1400246.982441 4994419.885097,1400244.135644 4994420.238996,1400241.278261 4994420.493666,1400238.413749 4994420.648799,1400235.545574 4994420.704209,1400232.677207 4994420.659826,1400229.81212 4994420.515706,1400226.953779 4994420.272023,1400224.105642 4994419.92907,1400221.271157 4994419.487265,1400218.453754 4994418.947141,1400215.656841 4994418.309351,1400212.883804 4994417.574668,1400210.137997 4994416.74398,1400207.422744 4994415.818293,1400204.741329 4994414.798727,1400202.096999 4994413.686515,1400199.492953 4994412.483004,1400196.932341 4994411.18965,1400194.418263 4994409.808018,1400191.95376 4994408.33978,1400189.541816 4994406.786712,1400187.185348 4994405.150694,1400184.887208 4994403.433705,1400182.650177 4994401.637824,1400180.476962 4994399.765223,1400178.370193 4994397.818169,1400176.332419 4994395.799017,1400174.366106 4994393.710211,1400172.473633 4994391.554279,1400170.657291 4994389.333829,1400168.919278 4994387.051548,1400167.261696 4994384.710198,1400165.686551 4994382.312613,1400164.19575 4994379.861693,1400162.791096 4994377.360404,1400161.47429 4994374.811774,1400160.246924 4994372.218886,1400159.110483 4994369.584877,1400046.897734 4994117.895061);65;X;6;;;;LUNGO STURA LAZIO;B;Bidirezionale;BANCHINA OVEST DI LUNGO STURA LAZIO;640;;5557;660 P;;;;;;2;;DA STRADA DEL MEISINO A INTERSEZIONE VIA FATTORELLI
LINESTRING (1399421.968698 4992377.649424,1399441.789116 4992317.65937);137;X;7;;;;PASSERELLA SULLA DORA;B;Bidirezionale;TUTTA LA SEZIONE DELLA PASSERELLA;63;;2316;293 P;;;;;;3;;DA LUNGO DORA VOGHERA A INTERNO PARCO
LINESTRING (1396538.458926 4992965.460788,1396512.050962 4992893.247793);107;X;7;;;;PONTE CARPANINI;B;Bidirezionale;LATO OVEST DEL PONTE;77;;5036;799;X;;;X;;2;;DA LUNGO DORA NAPOLI A LUNGO DORA AGRIGENTO
LINESTRING (1397682.403407 4992117.605248,1397720.991808 4992049.10988);118;X;7;;;;PASSERELLA VERONA;B;Bidirezionale;SU TUTTA LA SEZIONE DELLA PASSERELLA;79;;0;;;;;;;0;;PROLUNGAMENTO CORSO VERONA
LINESTRING (1400300.130182 4994249.674045,1400300.643636 4994242.893308,1400264.641106 4994236.189124,1400262.883894 4994233.926143,1400261.508858 4994230.833976,1400261.680721 4994228.428948,1400263.571411 4994224.821386,1400268.555898 4994219.152406,1400273.196593 4994213.998741,1400279.55605 4994210.047649,1400290.056667 4994203.338894);66;;6;;;;VIA FATTORELLI;;;MARCIAPIEDE SUD E ATTRAVERSAMENTO VIA;91;;5555;658 P;;;;;;3;;INTERSEZIONE DI LUNGO STURA LAZIO CON VIA FATTORELLI
LINESTRING (1396074.127367 4991676.460923,1396189.160937 4991883.424916);10;X;1;;;;VIA SAN FRANCESCO D'ASSISI;B;Bidirezionale;LATO  OVEST DELLA CARREGGIATA;237;;2673;287 P;X;96-V;;X;X;2;;DA VIA GARIBALDI A VIA BERTOLA
LINESTRING (1397267.015883 4992032.513803,1397321.002233 4992007.733126,1397354.889647 4991992.553099,1397399.604898 4991997.19094,1397446.851231 4992003.093604,1397466.255981 4992008.996307,1397481.864139 4992017.428735,1397608.416774 4992093.320426,1397705.597109 4992137.183492,1397838.578917 4992165.864851,1397967.662634 4992185.259391,1398006.472069 4992187.367508);135;X;7;;;;LUNGO DORA FIRENZE;B;Bidirezionale;MARCIAPIEDI LATO SUD;787;;4089;439 P;;;;;;3;;DA LARGO REGIO PARCO A PONTE ROSSINI
LINESTRING (1395390.292321 4993934.229854,1395402.610933 4994008.513465,1395423.135157 4994141.661544,1395446.54487 4994283.398753,1395454.762845 4994351.60514,1395446.155508 4994382.956043,1395452.314878 4994416.609395,1395498.454 4994407.593,1395499.029 4994419.701);103;X;4;;;;VIA ORVIETO;B;Bidirezionale;MARCIAPIEDE OVEST DELLA VIA;548;;5710;629 P;;;;;;3;;DA CORSO MORTARA A VIA VEROLENGO
LINESTRING (1392784.084178 4989149.754622,1392724.982167 4989026.104052);104;X;2;;;;COLLEGAMENTO TRA CORSO SEBASTOPOLI E VIA BALTIMORA;B;Bidirezionale;TORINOSUD;137;;2152;219 P;;;;;;3;;DA CORSO SEBASTOPOLI A VIA BALTIMORA
LINESTRING (1396963.124948 4990319.075366,1397057.620477 4990475.708832);106;X;1;;;;CORSO CAIROLI;B;Bidirezionale;MARCIAPIEDE LATO EST;183;;383;45;;;;;;3;;DA CORSO VITTORIO EMANUELE A VIA DEI MILLE
LINESTRING (1396538.904129 4992968.095142,1396470.324373 4993029.233756,1396464.049613 4993041.776755,1396397.429877 4993103.604357,1396198.721051 4993289.713934,1396056.575594 4993420.116818,1395950.538208 4993516.039186,1395889.389302 4993572.300237);114;X;7;;;;LUNGO DORA NAPOLI;B;Bidirezionale;SULLA SPONDA NORD DELLA DORA;888;;0;;X;8a-V;;X;X;3;;CORSO PRINCIPE ODDONE - CORSO VERCELLI
LINESTRING (1395034.187396 4993683.37028,1395035.997158 4993675.226308,1395033.442578 4993668.660693,1395039.28172 4993658.629877,1395051.523236 4993651.65598,1395056.016796 4993646.879609,1395057.553985 4993640.13881,1395057.371505 4993629.560829,1395055.546777 4993623.724714,1395055.729257 4993615.152936,1395053.53957 4993606.945908,1395050.619967 4993600.745004,1395048.61276 4993585.607611,1395045.510677 4993567.916891,1395043.868429 4993555.879872,1395043.225123 4993542.548253);110;X;7;;;;CORSO UMBRIA;B;Bidirezionale;MARCIAPIEDE OVEST DELLA VIA;154;;0;;;;;X;;3;;DA VIA DAUBRE'E A VIA TREVISO
LINESTRING (1395503.896202 4991290.511293,1395772.344261 4991822.463616);112;;1;;;;CORSO GALLILEO FERRARIS;M;Monodirezionale;LATO EST DELLA VIA DA SUD A NORD;596;X;1741;371;X;;;X;X;2;;DA CORSO MATTEOTTI A VIA CERNAIA
LINESTRING (1396509.641674 4992903.836726,1396618.990575 4992796.122255);108;X;7;;;;LUNGO DORA AGRIGENTO;B;Bidirezionale;MARCIAPIEDE LATO NORD;153;;0;;X;;;;;3;;DA BORGO DORA A CORSO GIULIO CESARE
LINESTRING (1395499.057039 4994418.781486,1395511.839132 4994502.066962,1395523.637946 4994505.50649,1395521.260991 4994514.990768,1395520.054647 4994519.693243,1395519.933987 4994522.707646,1395521.140395 4994526.204344,1395538.276014 4994537.428944);115;;4;;;;VIA ORVIETO;M;Monodirezionale;LATO EST DELLA VIA;138;X;5710;629 P;X;;;X;X;2;;DA VIA VEROLENGO A LARGO GIACHINO
LINESTRING (1395509.400203 4994568.719388,1395488.43878 4994550.183499,1395501.709987 4994524.580473,1395481.51 4994420.18);151;;4;;;;VIA ORVIETO;M;Monodirezionale;LATO OVEST DELLA VIA;163;X;5710;629 P;;;;;;2;;DA LARGO GIACHINO A VIA VEROLENGO
LINESTRING (1393413.766911 4986460.438973,1393450.225671 4986442.400112,1393658.041258 4986334.163424,1393774.048676 4986274.532097,1393886.390519 4986216.536127,1393894.824634 4986217.547688,1394031.68233 4986147.217162,1394187.134073 4986065.106396);117;;9;;;;CORSO TRAIANO;M;Monodirezionale;TORINO SUD;870;X;3294;446 P;X;44-V;;X;X;2;;DA VIA CAIO PLINIO A CORSO BENEDETTO CROCE
LINESTRING (1394171.132027 4986023.773319,1394162.439567 4986028.006277,1393878.403476 4986171.22644,1393766.054821 4986230.501279,1393704.585995 4986259.218225,1393693.891074 4986264.922697);116;;10;;;;CORSO TRAIANO;M;Monodirezionale;MARCIAPIEDE LATO SUD DEL CORSO;535;X;3294;446 P;X;44-V;;X;X;2;;DA VIA PIO VII A VIA CAIO PLINIO
LINESTRING (1393589.774467 4984906.874437,1393520.556957 4984901.028123,1392900.0298 4985019.515399,1392849.849428 4985028.547902,1392764.502133 4985043.343547,1392661.639921 4985069.801705);92;X;10;;20071206000000;;STRADA CASTELLO DI MIRAFIORI;B;Bidirezionale;SUL LATO NORD DEL CORSO;945;;3466;374 P;;24-V;;X;X;3;;STRADA DELLE CACCE/VIA ARTOM
LINESTRING (1393592.959082 4984860.69923,1393611.736709 4984874.125417,1393615.636678 4984871.815543,1393618.2367 4984863.730945,1393645.952485 4984867.915114);153;X;10;;;;STRADA CASTELLO DI MIRAFIORI;B;Bidirezionale;LATO SUD DELLA ROTONDA;64;;3466;374 P;;;;;;3;;ATTRAVESAMENTO SUD ROTONDA
LINESTRING (1391307.848106 4984979.580682,1391311.721987 4984994.770165,1391316.787842 4985006.087806,1391379.663566 4985084.120009,1391426.745868 4985140.410439,1391544.550114 4985283.888044,1391601.593881 4985353.808373,1391607.553684 4985341.895074,1391643.014407 4985313.303124,1391648.080197 4985309.72913,1391652.848026 4985311.218297,1391656.423946 4985310.920448,1391675.495262 4985329.386076,1391671.621381 4985333.257919,1391688.904736 4985355.595389,1391657.462246 4985384.344157);119;X;10;;20061130000000;;CORSO UNIONE SOVIETICA;B;Bidirezionale;MARCIAPIEDE LATO OVEST;654;;0;;;;;;;3;;DA STRADA DEL DROSSO A PONTE SANGONE
LINESTRING (1393694.79182 4986265.097007,1392796.090007 4986739.93255,1392695.087969 4986816.240982);120;;9;;;;CORSO TRAIANO;M;Monodirezionale;MARCIAPIEDE LATO SUD DEL CORSO;1143;X;3294;446 P;;44-V;;;;2;;DA CORSO AGNELLI A VIA PIO VII
LINESTRING (1392861.219008 4986234.670395,1392847.314914 4986212.81188,1392855.804246 4986191.034078,1392884.667881 4986183.397699,1393116.605531 4985925.152241,1393152.939254 4985884.433371,1393266.379663 4985851.034375,1393287.484856 4985833.455925,1393309.90909 4985824.666719,1393331.993288 4985826.393087,1393485.445592 4985782.886487,1393520.823977 4985779.723979,1393713.848516 4985768.737443,1394169.285673 4985760.698175);96;X;10;;20071206000000;;VIA ONORATO VIGLIANI;B;Bidirezionale;MARCIAPIEDE LATO SUD DEL CORSO;1517;;423;40 P;;68-V;;;;3;;DA STRADA DELLE CACCE A VIA TOMMASO VILLA
LINESTRING (1391062.700836 4987250.359874,1391061.958503 4987250.782051,1390953.670884 4987319.929504,1390940.538851 4987352.237572,1390936.488779 4987366.888228,1390938.943701 4987378.240268,1390946.615405 4987393.580863,1390967.789315 4987399.410299,1391021.184382 4987410.455508,1391032.538527 4987413.216811,1391045.120113 4987422.114379,1391055.340971 4987425.218764,1391063.012675 4987425.218764);122;X;10;;;;CORSO SETTEMBRINI;B;Bidirezionale;MARCIAPIEDE NORD DEL CORSO;330;;1292;147 P;;45-V;;;;3;;DA CORSO SETTEMBRINI FRONTE CIV.191 A CORSO ORBASS
LINESTRING (1391062.618121 4987249.793154,1391040.52143 4987210.237841,1391203.113298 4987119.919773,1391409.794199 4987001.974229,1391803.505206 4986779.555438,1392021.159419 4986653.111333,1392394.077176 4986441.956255,1392418.379026 4986426.767567,1392431.088475 4986412.787898,1392442.62313 4986397.610191,1392449.471498 4986387.369984,1392457.827526 4986376.068523);121;;10;;;;CORSO SETTEMBRINI;M;Monodirezionale;MARCIAPIEDE LATO SUD DEL CORSO;1695;X;1292;147 P;;45-V;;;;2;;DA CORSO SETTEMBRINI FRONTE CIV.191 A CORSO AGNELL
LINESTRING (1398952.204722 4994271.677542,1398851.582191 4994338.945459,1398722.367069 4994425.27746,1398710.267962 4994433.975772,1398532.45348 4994553.565582,1398446.591584 4994610.335846,1398432.582045 4994618.397701,1398427.487708 4994620.731413,1398416.874458 4994620.943565,1398400.954551 4994619.034157,1398381.638354 4994634.309259,1398379.727986 4994637.067275,1398381.426098 4994641.310354,1398381.001586 4994646.18989,1398377.605362 4994651.069426,1398322.337191 4994686.791739,1398300.686115 4994702.066841,1398293.681345 4994705.673465,1398290.285121 4994709.280049,1398288.374688 4994712.250216,1398272.242525 4994726.464519,1398109.092733 4994836.071266,1398036.621151 4994885.403783,1397889.1972 4994983.530287,1397781.041764 4995056.648254,1397777.46539 4995058.131521);125;;6;;;;CORSO TARANTO;M;Monodirezionale;TORINO NORD / SUD;1426;X;4607;509 P;X;3-V;;;;2;;DA PIAZZA SOFIA A PIAZZA DERNA
LINESTRING (1394052.141628 4991824.987662,1394057.633677 4991834.674401,1394013.805059 4991856.092845,1393917.774945 4991906.8912,1393882.561303 4991926.910473,1393839.179853 4991948.405978,1393687.361707 4992028.448331,1393331.389857 4992216.208851,1393328.013894 4992217.696182,1393323.566358 4992208.675051);126;;3;;;;CORSO VITTORIO EMANUELE II;;;BANCHINA CENTRALE LATO NORD;845;;422;44 P;;32-V;;;;0;;DA PIAZZA ADRIANO A PIAZZA RIVOLI
LINESTRING (1393323.566358 4992208.675051,1393318.920161 4992199.947275,1393358.94785 4992178.832658,1393572.454473 4992066.410686,1393717.454342 4991989.973395,1393847.369023 4991920.889951,1393858.543045 4991913.55103,1393874.750039 4991907.085415,1393882.421288 4991901.028981,1394026.373148 4991826.044045,1394046.823124 4991813.846418,1394052.141628 4991824.987662);43;;3;;;;CORSO VITTORIO EMANUELE II;M;Monodirezionale;BANCHINA CENTRALE LATO SUD;847;X;422;44 P;;32-V;;;;2;;DA P.ZZA RIVOLI A P.ZZA ADRIANO
LINESTRING (1395176.48709 4992311.516184,1395172.227666 4992314.158569,1395063.979274 4992309.460978,1394907.894518 4992303.291884,1394795.709649 4992298.589018,1394680.780017 4992293.745003,1394529.96159 4992287.870241,1394433.512143 4992283.882142,1394332.651669 4992279.76415,1394331.623532 4992298.114147);128;;3;;;;CORSO FRANCIA;M;Monodirezionale;MARCIAPIEDE LATO SUD DEL CORSO;864;X;0;;;;;;;2;;DA PIAZZA BERNINI A PIAZZA STATUTO
LINESTRING (1394331.623532 4992298.114147,1394330.889148 4992316.757734,1394420.190445 4992320.134152,1394558.97398 4992325.738224,1394735.941186 4992332.673083,1394915.564019 4992339.578477,1395085.790174 4992346.78297,1395196.513461 4992351.333942);127;;4;;;;CORSO FRANCIA;M;Monodirezionale;MARCIAPIEDE LATO NORD DEL CORSO;885;X;0;;;;;;;2;;DA PIAZZA STATUTO PIAZZA BERNINI
LINESTRING (1393651.932119 4989904.4113,1393659.929747 4989901.311707,1393663.036879 4989898.093593,1393666.817611 4989889.973317,1393693.604452 4989898.01321,1393693.684849 4989901.148754,1393694.569735 4989903.115996,1393696.09812 4989904.847092,1393698.319266 4989905.492458,1393710.629 4989898.999,1393720.430941 4989914.708982);152;;2;;20041007000000;;CORSO ROSSELLI;M;Monodirezionale;ATTRAVERSAMENTO LATO SUD DELLA PIAZZA;92;X;272;30 P;;35-V;;;;2;;INTORNO ALLA PIAZZA
LINESTRING (1394800.504406 4991419.935482,1394790.525853 4991398.991517,1394711.439834 4991240.786872,1394693.419312 4991205.185582,1394703.148388 4991173.5203,1394689.1784 4991143.101709,1394655.500782 4991131.13374,1394588.329772 4991002.499508,1394562.341204 4990954.796291,1394491.460733 4990818.328886,1394455.224974 4990745.639132,1394418.533049 4990671.217265,1394414.013726 4990663.645989,1394406.280399 4990667.884653,1394396.711838 4990649.603362);154;X;1;;;;CORSO CASTELFIDARDO;B;Bidirezionale;LATO EST DEL CORSO;898;;546;83P;;;;;;3;;DA CORSO PESCHIERA A CORSO VITTORIO EMANUELE II
LINESTRING (1394555.608309 4988246.616227,1394561.449781 4988248.078314,1394566.515636 4988247.120406,1394586.389498 4988237.014131,1394627.833392 4988215.956762,1394629.175544 4988212.386872,1394630.133964 4988206.02364,1394631.996172 4988196.275041,1394632.696506 4988194.035233,1394641.800532 4988189.135651,1394651.184652 4988186.755828,1394660.848932 4988186.755828);82;X;9;;;;CORSO SEBASTOPOLI;B;Bidirezionale;LATO SUD BANCHINA CENTRALE DEL TRATTO;132;;1295;150 P;;;;;;3;;DA VIA G. BRUNO A VIA ZINI
LINESTRING (1394423.430471 4987999.917929,1394408.490864 4987998.334272,1394382.007097 4987990.415949,1394202.958501 4988082.268748,1394068.751836 4988151.453559,1394045.43702 4988163.444193,1394026.196689 4988221.135007,1394012.508034 4988234.391707);130;X;9;;;;VIA FILADELFIA;B;Bidirezionale;MARCIAPIEDE LATO NORD DELLA VIA;501;;4673;531 P;;19-V;;;;3;;DA PIAZZALE G. DA GORIZIA A C.SO GIORDANO BRUNO
