WKT_GEOM;ID_PISTA;BIDI;CIRCOSCRIZ;DATA_ESECU;DATA_ORDIN;DATA_RILIE;DENOMINAZI;DIREZIONE;DIREZIONE_;LOCALIZZAZ;LUNG_M;MONO;N_ORDINANZ;N_PROTOCOL;PUMS;RIFER_PIAN;RILIEVO_TR;SEGNALETIC;SEMAFORO;SEZIONE_M;STATO_CONS;TRACCIATO
LINESTRING (1394012.508034 4988234.391707,1394006.474041 4988240.235293,1393996.287957 4988247.701176,1393967.54058 4988266.705215,1393935.060243 4988284.392887,1393910.160919 4988234.620435,1393894.995009 4988241.860059,1393615.223623 4988386.595297,1393603.905766 4988396.323536,1393542.789262 4988428.675645,1393496.929227 4988451.604867,1393487.422181 4988452.057346,1393258.005814 4988570.284288,1393105.790796 4988649.108242,1393017.363963 4988694.19721,1392952.85214 4988727.906716,1392931.437464 4988738.931158,1392563.214129 4988928.887993,1392521.445313 4988950.526433);24;X;2;;;;VIA FILADELFIA;B;Bidirezionale;LATO EST DEL CORSO;1712;;4673;531 P;;19-V;;;;3;;DA VIA GUIDO RENI A C.SO GIORDANO BRUNO
LINESTRING (1392521.46716 4988284.323446,1392563.650617 4988250.240944,1392576.28033 4988234.588274,1392600.782136 4988213.381356,1392610.885945 4988207.827186,1392626.799444 4988194.194201,1392674.79259 4988158.344455,1392683.380831 4988146.478713,1392833.82459 4988018.787071,1392963.581713 4987906.472563,1392985.615873 4987886.576228,1392955.391055 4987841.98206);131;;2;;20081206000000;;CORSO COSENZA;M;Monodirezionale;LATO  NORD/EST DEL CORSO;666;X;5142;685 P;;42-V;;;;2;;DA VIA TRIPOLI A PIAZZA PITAGORA
LINESTRING (1392960.584998 4987844.807882,1393137.771661 4987690.018374);132;X;2;;20081206000000;;CORSO COSENZA;B;Bidirezionale;LATO SUD/OVEST DEL CORSO;235;;5142;685 P;;42-V;;;;3;;DA VIA TRIPOLI A  CORSO AGNELLI
LINESTRING (1391986.639098 4988026.530366,1391975.955355 4988043.615345,1391993.35458 4988057.344383,1391999.764787 4988142.464316,1391864.077639 4988247.101336,1391879.950616 4988269.98304,1391764.540609 4988358.22269,1391798.799908 4988404.975072,1391782.344292 4988441.393308);133;X;2;;;;VIA GAIDANO;B;Bidirezionale;MARCIAPIEDE LATO OVEST E LATO NORD DELLA VIA;570;;5334;613 P;;;;;;3;;DA CORSO ORBASSANO A VIA PIETRO BONFANTE
LINESTRING (1391826.3691 4987822.224333,1391821.730476 4987829.160911,1391820.871856 4987830.695084,1391820.067034 4987832.258151,1391819.31698 4987833.848224,1391818.622599 4987835.463387,1391817.984729 4987837.10169,1391817.404139 4987838.761158,1391816.88153 4987840.439787,1391816.417533 4987842.135553,1391816.012706 4987843.846409,1391815.667539 4987845.570293,1391815.382448 4987847.305124,1391815.157776 4987849.048809,1391814.993796 4987850.799245,1391814.890704 4987852.55432,1391814.848625 4987854.311917,1391814.86761 4987856.069914,1391814.947635 4987857.826192,1391815.088606 4987859.578631,1391815.29035 4987861.325117,1391815.552625 4987863.063544,1391815.875115 4987864.791814,1391816.257431 4987866.507841,1391816.69911 4987868.209557,1391817.199621 4987869.894907,1391817.758359 4987871.561858,1391818.374651 4987873.2084,1391819.047753 4987874.832546,1391819.776852 4987876.432336,1391820.56107 4987878.005841,1391821.399461 4987879.551162,1391822.291011 4987881.066435,1391823.234647 4987882.549832,1391824.22923 4987883.999564,1391825.27356 4987885.41388,1391826.366376 4987886.791076,1391827.506361 4987888.129489,1391828.69214 4987889.427505,1391829.922281 4987890.683558,1391831.1953 4987891.896132,1391832.509663 4987893.063765,1391833.863782 4987894.185049,1391835.256025 4987895.258629,1391836.684712 4987896.283211,1391838.14812 4987897.25756,1391839.644482 4987898.180499,1391841.171993 4987899.050915,1391998.271875 4988005.29625,1391986.639098 4988026.530366);87;;10;;;;CORSO ORBASSANO;;;MARCIAPIEDE LATO SUD DEL CORSO;303;;5336;615 P;;;;;;3;;DA CORSO TAZZOLI A P.ZZA OMERO
LINESTRING (1393493.786104 4985823.622293,1393586.293767 4986041.049083,1393689.465494 4986291.83251,1393712.698036 4986346.71697,1393763.910364 4986455.232632,1393773.625847 4986477.1864,1393862.331869 4986697.990702,1393954.891899 4986928.872518,1393967.986583 4986962.647558,1394055.495711 4987172.755436,1394057.641445 4987179.741642);84;;9;;20071206000000;;VIA PIO VII;M;Monodirezionale;MARCIAPIEDI LATO OVEST DELLA VIA;1469;X;850;101 P;;21-V;;;;2;;CORSO GIAMBONE/VIA O. VIGLIANI
LINESTRING (1394088.058323 4987170.249666,1393989.59759 4986930.640699,1393983.261436 4986918.819467,1393927.503375 4986777.808671,1393921.093621 4986771.63266,1393916.869475 4986758.544845,1393916.869475 4986749.678892,1393867.818934 4986628.385573,1393860.637964 4986608.964929,1393801.078197 4986464.576661,1393787.886416 4986438.496811,1393768.45558 4986402.610802,1393735.507619 4986325.35042,1393717.025238 4986282.228766);141;;9;;20071206000000;;VIA PIO VII;M;Monodirezionale;MARCIAPIEDE LATO EST DELLA VIA;964;X;850;101 P;;21-V;;;;2;;DA CORSO TRAIANO A CORSO GIAMBONE
LINESTRING (1399157.054023 4992007.235121,1399127.576494 4992135.13541);71;X;7;;;;CORSO BRIANZA;B;Bidirezionale;BANCHINA CENTRALE;131;;517;63 P;;8c-V;;;;3;;DA PONTE WASHINGTON A CORSO BELGIO
LINESTRING (1400046.897734 4994117.895061,1400015.973792 4994049.852121,1400003.554587 4994021.684866,1399999.016815 4994016.910762,1399961.749942 4993939.998756,1399944.820734 4993917.374925,1399940.065334 4993910.150502,1399935.617022 4993906.330671,1399933.476337 4993920.237512,1399934.903482 4993934.263265,1399926.103049 4993940.087501,1399920.074301 4993929.746629);134;X;7;;;;LUNGO STURA LAZIO;B;Bidirezionale;MARCIAPIEDE LATO OVEST;291;;5557;660 P;;;;;;2;;DALLA MEZZERIA PONTE PO A VIA FATTORELLI
LINESTRING (1398265.586466 4991413.128094,1398188.278698 4991381.46121,1398058.075313 4991331.66199,1398057.42165 4991327.742356,1398053.717884 4991323.82276,1398024.740968 4991310.539558,1398021.255025 4991302.700328,1397894.764922 4991244.448595,1397768.947642 4991174.459959,1397596.906404 4991057.620348);138;X;7;;;;LUNGO PO MACCHIAVELLI;B;Bidirezionale;MARCIAPIEDE LATO SUD;764;;0;;;;;;;3;;DA CORSO REGINA A CORSO SAN MAURIZIO
LINESTRING (1397596.906404 4991057.620348,1397534.272454 4991005.814379,1397449.981861 4990921.869977,1397430.042166 4990901.034882);139;X;1;;;;LUNGO PO CADORNA;B;Bidirezionale;MARCIAPIEDE LATO EST;229;;0;;;;;;;3;;DA CORSO SAN MAURIZIO A PONTE VITTORIO E. 1
LINESTRING (1393696.344813 4988707.946568,1393735.078253 4988780.533666,1393820.572471 4988943.553368,1393919.803449 4989131.926741,1394014.180375 4989310.622911,1394034.965986 4989350.519176,1394033.803983 4989364.26236);23;X;2;;;;CORSO IV NOVEMBRE;B;Bidirezionale;LATO EST DEL CORSO;740;;3896;535 P;;65-V;;;;3;;DA CORSO MONTE LUNGO A CORSO SEBASTOPOLI
LINESTRING (1394033.803983 4989364.26236,1394050.265697 4989393.877907,1394089.967526 4989471.497685,1394125.384637 4989540.356084,1394126.967022 4989542.985144);140;X;1;;;;CORSO IV NOVEMBRE;B;Bidirezionale;MARCIAPIEDE LATO EST;453;;0;;;;;;;3;;DA CORSO MONTE LUNGO A VIA TIRRENO
LINESTRING (1394387.038061 4989204.678825,1394403.96209 4989233.044242,1394420.365415 4989229.400964,1394452.390881 4989294.719481,1394456.274343 4989314.206635,1394463.586783 4989311.634629,1394522.210424 4989274.346996);19;X;1;;;;PIAZZALE COSTANTINO IL GRANDE;B;Bidirezionale;LATO NORD/OVEST DEL PIAZZALE;220;;5628;679 P;;;;;;3;;DA CORSO MONTE LUNGO A CORSO RE UMBERTO
LINESTRING (1393717.025238 4986282.228766,1393698.688043 4986239.445849,1393620.893297 4986050.136568,1393610.305293 4986024.201188,1393525.823352 4985822.81753);142;;10;;20071206000000;;VIA PIO VII;M;Monodirezionale;MARCIAPIEDE EST DELLA VIA;498;X;850;101 P;;21-V;;;;2;;DA VIA O. VIGLIANI A CORSO TRAIANO
LINESTRING (1392521.445313 4988950.526433,1392519.97988 4988951.285604,1392497.941383 4988989.61439,1392498.620421 4989019.477884,1392496.221423 4989019.619621);34;X;2;;;;CORSO SIRACUSA;B;Bidirezionale;LATO EST DELL'INCROCIO;78;;4601;521 P;;;;;;3;;DAL N.C. 95 A VIA FILADELFIA
LINESTRING (1392496.221423 4989019.619621,1392452.669891 4989022.192719,1392447.463697 4989014.953094,1392423.469779 4989001.152545,1392296.849111 4989066.599353,1392199.162637 4989117.81021,1392183.996662 4989125.954832,1392108.924216 4989164.313278);143;X;2;;;;VIA FILADELFIA;B;Bidirezionale;MARCIAPIEDE LATO NORD DELLA VIA;435;;4673;531 P;;19-V;;;;3;;DA VIA GUIDO RENI A C.SO SIRACUSA
LINESTRING (1396930.66926 4989775.89688,1396934.593249 4989781.146096,1396958.266599 4989812.694224,1397010.244876 4989942.945385,1397070.095776 4990091.796149,1397090.031284 4990132.476637,1397103.321586 4990158.213257,1397108.212372 4990186.323938,1397093.552573 4990206.148121);150;X;8;;;;CORSO MONCALIERI;B;Bidirezionale;MARCIAPIEDE LATO OVEST DEL CORSO;474;;1273;168 P;;;;;;3;;DA m 33.00 CIRCA A NORD DEL PROTENDIMENTO IDEALE DEL F.M. NORD DI VIA MILAZZO  A PONTE UMBERTO
LINESTRING (1396090.413514 4990714.955204,1396052.382286 4990645.640578,1395996.454044 4990543.106047,1395929.794222 4990412.868346,1395910.949727 4990376.922861,1395903.561227 4990363.4964,1395899.75512 4990348.055922,1395898.187831 4990345.818185,1395886.769316 4990333.286796,1395875.574708 4990311.80446,1395868.41018 4990291.217194);144;X;1;;;;VIA NIZZA;B;Bidirezionale;TORINO SUD;480;;0;;;;;;;3;;DA CORSO VITTORIO EMANUELE II AL CIV. 12bis
LINESTRING (1395868.41018 4990291.217194,1395864.549634 4990273.567037,1395865.37749 4990259.639759,1395857.922381 4990237.9262,1395832.789828 4990157.154387);145;X;8;;;;VIA NIZZA;B;Bidirezionale;MARCIAPIEDE LATO OVEST DELLA VIA;140;;0;;;;;;;3;;DAL CIV. 12bis A LARGO MARCONI
LINESTRING (1397070.887513 4990467.51029,1397111.53404 4990535.372873,1397167.423054 4990611.083479,1397230.830939 4990694.013896,1397269.629952 4990739.255579,1397319.976232 4990792.807025,1397416.310198 4990892.652395);105;X;1;;;;LUNGO PO DIAZ;B;Bidirezionale;MARCIAPIEDE LATO EST;549;;4009;418 P;;;;;;3;;DA PONTE VITTORIO EMANUELE A PROLUNGAMENTO IDEALE
LINESTRING (1397410.915893 4990892.652356,1397470.730761 4990837.703139);146;;1;;;;PONTE VITTORIO EMANUELE II;M;Monodirezionale;TORINO SUD;81;X;0;;;;;;;2;;DA PIAZZA VITTORIO E. II A MEZZERIA PONTE
LINESTRING (1397431.660464 4990910.200365,1397488.971946 4990855.499667);147;;1;;;;PONTE VITTORIO EMANUELE II;M;Monodirezionale;TORINO SUD;79;X;0;;;;;;;2;;DA MEZZERIA PONTE VITTORIO E.II A PIAZZA VITTORIO
LINESTRING (1397470.730761 4990837.703139,1397534.537661 4990779.086624);148;;8;;;;PONTE VITTORIO EMANUELE II;M;Monodirezionale;TORINO SUD;87;X;0;;;;;;;2;;DA MEZZERIA PONTE VITTORIO E.  II A CORSO MONCARIE
LINESTRING (1397488.971946 4990855.499667,1397552.173805 4990795.176922);149;;8;;;;PONTE VITTORIO EMANUELE II;M;Monodirezionale;TORINO SUD;87;X;0;;;;;;;2;;DA CORSO CASALE A MEZZERIA PONTE VITTORIO E. II
LINESTRING (1396419.101445 4989901.016555,1396218.470971 4989993.740588,1396222.619315 4990003.163788,1395902.273062 4990149.924259,1395892.991606 4990127.260295);101;X;8;;;;CORSO MARCONI;B;Bidirezionale;BANCHINE CENTRALI LATO SUD E NORD DEL CORSO;608;;2473;262 P;;;;;;3;;DA VIA NIZZA A CORSO MASSIMO D'AZEGLIO
LINESTRING (1395832.789828 4990157.154387,1395854.244184 4990149.552749,1395849.522897 4990135.884359,1395858.965536 4990134.582647,1395869.873381 4990137.674267,1395876.38554 4990141.091365,1395892.991606 4990127.260295);102;X;8;;;;LARGO MARCONI;B;Bidirezionale;ATTRAVERSAMENTO DEL LARGO NELLA BANCHINA CENTRALE SUD;87;;5598;406 P;;;;;;3;;LARGO MARCONI
LINESTRING (1394710.886519 4995579.430026,1394703.539575 4995590.886031,1394688.257947 4995614.972985,1394490.050101 4995876.272359,1394294.358306 4996133.964166);155;;5;;20041007000000;;VIA CONFALONIERI;M;Monodirezionale;LATO OVEST DELLA VIA;694;X;1269;170 P;X;4-V;;X;X;2;;DA VIA SANSOVINO A CORSO GROSSETO
LINESTRING (1394396.711838 4990649.603362,1394284.48789 4990433.0333,1394261.958158 4990396.570291,1394199.528327 4990277.696241,1394152.95099 4990193.441421,1394141.59198 4990170.904609,1394136.444924 4990151.91692,1394137.44864 4990121.399379,1394134.196744 4990107.048574);100;X;1;;;;CORSO MEDITERRANEO;B;Bidirezionale;MARCIAPIEDE LATO EST DEL CORSO;607;;3539;599;;;;;;3;;DALLA BRETELLA TRA C.SO LIONE E C.SO MEDITERRANEO A CORSO PESCHIERA
LINESTRING (1393696.218985 4988707.689128,1394045.801011 4988532.377027,1394044.517172 4988537.512386);173;X;2;;;;CORSO SEBASTOPOLI;B;Bidirezionale;AREA PEDONALE PIAZZA D'ARMI;396;;0;0;X;;;;;3;;DA CORSO IV NOVEMBRE A CORSO GALILEO FERRARIS
LINESTRING (1398344.834254 4991435.15141,1399497.722398 4991686.784012,1399577.320466 4991720.163847,1399649.215495 4991771.517439,1399759.625718 4991905.036779,1399826.385388 4991989.770206,1399859.765223 4992069.368274,1399862.332903 4992110.451147,1399862.332903 4992110.451147);174;X;7;;;;LUNGO PO MACCHIAVELLI;B;Bidirezionale;LATO NORD DEL PO;1763;;0;0;X;;;;;3;;DA CORSO REGINA A PONTE DI SASSI
LINESTRING (1394912.488538 4989159.545358,1394968.97749 4989078.66345,1395034.45332 4988975.956266,1395084.523072 4988905.345076,1395106.586345 4988905.924983,1395220.690541 4989172.60164,1395216.973104 4989193.005642,1395184.977671 4989221.682534,1395161.043947 4989235.687449);175;X;1;;;;VIA RAPALLO;B;Bidirezionale;SU AREA PEDONALE ZONA ARQUATA;711;;0;;X;;;;;3;;DA VIA SOLERO SU VIA RAPALLO, VIA PAGANO, CORSO DANTE A VIA FRUGAROLO
LINESTRING (1399247.589466 4991634.024996,1399282.334775 4991488.094695,1399282.334775 4991488.094695);176;X;7;;;;PASSERELLA CHIAVES;B;Bidirezionale;SU TUTTA LA PASSERELLA;150;;0;;X;;;;;3;;DA PIAZZA CHIAVES A CORSO CASALE
LINESTRING (1394123.866729 4989722.304899,1394134.487795 4989723.865772,1394139.456617 4989724.550723,1394143.688034 4989725.706227,1394147.579268 4989728.795381,1394150.542635 4989732.520597,1394153.077717 4989735.962666,1394155.223217 4989743.179348,1394155.028171 4989742.594212);177;X;1;;;;LARGO ORBASSANO;B;Bidirezionale;LATO SUD DELLA PIAZZA;42;;0;0;X;;;;;3;;ATTRAVERSAMENTO DI LARGO ORBASSANO
LINESTRING (1394099.211555 4989775.41023,1394102.43006 4989748.374789,1394120.453688 4989750.949593,1394125.603296 4989702.672019,1394121.74109 4989675.636578,1394113.372977 4989658.256651,1394075.394619 4989613.841284,1394069.60131 4989599.036161,1394089.556041 4989593.886553,1394078.613124 4989566.207411,1394074.107217 4989555.264494,1394123.690207 4989543.475702,1394126.946462 4989542.923794);178;X;2;;;;LARGO ORBASSANO;B;Bidirezionale;ATTRAVERSAMENTO LARGO ORBASSANO LATO OVEST;331;;0;;;;;;;3;;DA CORSO ROSSELLI A VIA TIRRENO
LINESTRING (1392643.242655 4986727.072178,1392597.252117 4986751.361921,1392444.930282 4986465.641373,1392444.930282 4986465.641373);179;X;10;;;;CORSO AGNELLI;B;Bidirezionale;MARCIAPIEDE OVEST DEL CORSO;376;;0;;;;;;;3;;DA AGNELLI CIV.210 A CORSO SETTEMBRINI
LINESTRING (1395503.429428 4994569.10921,1395462.86821 4994614.74058,1394922.897 4995316.95666,1394922.897 4995316.95666);180;X;5;;;;VIA STRADELLA;B;Bidirezionale;SU AREA PEDONALE;947;;0;;;;;;;3;;DA LARGO GIACHINO A CORSO GROSSETO
LINESTRING (1393695.70505 4988710.157819,1393542.806204 4988432.027537,1393541.350025 4988433.483717);181;X;2;;;;CORSO AGNELLI;B;Bidirezionale;MARCIAPIEDE LATO EST DEL CORSO;319;;0;;;0;;;;3;;DA CORSO SEBASTOPOLI A VIA FILADELFIA
LINESTRING (1392522.815064 4990287.574148,1392511.168798 4990286.021313,1392496.028651 4990308.537428,1392486.711637 4990293.78549,1392466.912984 4990282.915641,1392441.679406 4990267.387286,1392425.374632 4990250.694303,1392408.293441 4990227.013561,1392383.448071 4990204.109236,1392363.261209 4990192.07476,1392336.474795 4990181.981329,1392319.005395 4990177.711031,1392301.924204 4990176.158196,1392292.218981 4990182.757747,1392211.85974 4990416.84771,1392207.201234 4990444.79875,1392154.793033 4990463.820986,1392137.711842 4990476.631879,1392126.841993 4990494.10128,1392122.571695 4990510.406053,1392117.913188 4990523.216947,1392112.478263 4990530.204707,1392099.66737 4990536.416049,1392102.773041 4990548.450525,1392110.14901 4990568.637387,1392093.067819 4990576.013356,1392093.067819 4990576.013356);182;X;2;;;;VIALE BURON;B;Bidirezionale;SU TUTTO IL VIALE;773;;0;;;;;;;3;;DA CORSO TRAIANO A CORSO MONTE CUCCO
LINESTRING (1392495.640442 4990308.343324,1392497.193277 4990325.036306,1392502.628202 4990337.8472,1392496.41686 4990344.83496,1392206.813025 4990445.381063,1392206.813025 4990445.381063);183;;2;;;;VIALE BISTOLFI;M;Monodirezionale;CAREGGIATA NORD DEL VIALE;347;X;0;;;;;;;2;;DA CORSO TRAPANI A VIALE BURON
LINESTRING (1392494.475815 4990309.89616,1392488.652682 4990325.424515,1392210.695114 4990421.312112,1392210.695114 4990421.312112);184;;2;;;;VIALE BISTOLFI;M;Monodirezionale;CAREGGIATA LATO SUD DEL VIALE;311;X;0;;;;;;;2;;DA VIALE BURON A CORSO TRAIANO
LINESTRING (1392737.668246 4990249.697547,1392743.616465 4990265.559463,1392728.151096 4990271.90423,1392887.563357 4990369.455016,1392887.563357 4990369.455016);185;X;3;;;;VIA ISONZO;B;Bidirezionale;INTERNO PARCO RUFFINI;221;;0;;;;;;;3;;DA CORSO ROSSELLI A VIA ISSIGLIO
LINESTRING (1392108.98032 4990568.27133,1392311.497954 4990642.977835,1392441.10924 4990693.382223,1392533.817312 4990726.685123);186;X;3;;;;CORSO ALBERTIS;B;Bidirezionale;INTERNO PARCO RUFFINI;453;;0;;;;;;;3;;DA CORSO MONTE CUCCO A CORSO TRAPANI
LINESTRING (1392302.72219 4990412.557771,1392313.523131 4990643.877913,1392313.523131 4990643.877913);187;X;3;;;;VIALE HUGUES;B;Bidirezionale;INTERNO PARCO RUFFINI;232;;0;;;;;;;3;;DA CORSO ALBERTIS A VIALE BISTOLFI
LINESTRING (1392458.062203 4986375.422224,1392492.532979 4986365.190196,1392521.519768 4986363.884485,1392543.194574 4986365.451338,1392563.563668 4986404.10039,1392550.506556 4986413.501511,1392535.882591 4986440.660304,1392530.137462 4986447.450002,1392523.347763 4986453.717416,1392513.946643 4986457.373407,1392502.978669 4986461.551683,1392489.921557 4986463.118536,1392473.730738 4986462.596252,1392459.629057 4986466.774528,1392445.005091 4986465.729959);188;X;10;;;;PIAZZA CAIO MARIO;B;Bidirezionale;INTORNO ALLA ROTONDA DA NORD-EST-SUD;276;;0;;;;;;;3;;ATTRAVERSAMENTO ROTONDA CAIO MARIO
LINESTRING (1392563.690554 4986403.881125,1392579.142208 4986396.921606,1392874.480697 4986255.518993,1392861.219008 4986234.670395);123;X;9;;20071206000000;;VIA ONORATO VIGLIANI;B;Bidirezionale;MARCIAPIEDE LATO NORD DEL CORSO;369;;423;40 P;;68-V;;;;3;;DA PIAZZALE CAIO MARIO A STRADA DELLE CACCE
LINESTRING (1394126.911832 4989542.874763,1394144.055957 4989537.723779,1394148.703967 4989551.466923,1394145.174769 4989565.403658,1394147.880519 4989574.627242,1394151.355434 4989583.53354,1394153.739333 4989591.341461,1394158.000052 4989601.406861,1394193.486345 4989667.932289,1394201.42675 4989686.708153,1394220.793437 4989723.292048,1394224.504841 4989732.717397,1394224.641334 4989751.351347);189;X;1;;;;LARGO ORBASSANO;B;Bidirezionale;MARCIAPIEDE LATO EST DI LARGO ORBASSANO;251;;0;;;;;;;3;;DA VIA TIRRENO A CORSO ROSSELLI
LINESTRING (1396479.097251 4991741.981702,1395533.506248 4992231.408201,1395533.506248 4992231.408201);190;X;1;;;;VIA GARIBALDI;B;Bidirezionale;SU TUTTA L'AREA PEDONALE;1065;;0;;;;;;;0;;DA PIAZZA CASTELLO A PIAZZA STATUTO
LINESTRING (1396186.775017 4990877.060637,1396573.324952 4991598.870711,1396570.823011 4991596.368769);191;;1;;;;VIA LAGRANGE;;;SU TUTTA L'AREA PEDONALE;822;;0;;;;;;;0;;DA PIAZZA LAGRANGE A PIAZZA CASTELLO
LINESTRING (1396316.875966 4990865.801901,1396632.120573 4991477.526556,1396632.120573 4991477.526556);192;;1;;;;VIA CARLO ALBERTO;;;SU TUTTA L'AREA PEDONALE;688;;0;;;;;;;0;;DA VIA MAZZINI A PIAZZA CARLO ALBERTO
LINESTRING (1393071.555352 4990456.438475,1393053.994935 4990447.909129,1393025.898268 4990450.919487,1393028.908625 4990470.988535,1393025.396541 4990499.085202,1393004.825767 4990508.116274,1393005.829219 4990522.666334,1393030.413803 4990652.61342,1393030.413803 4990652.61342);193;;3;;;;PEDONALE SAN PAOLO;;;SU AREA PEDONALE;266;;0;;;;;;;0;;DA VIA SAN PAOLO A VIA LANCIA
LINESTRING (1392776.540345 4990493.566214,1392899.463264 4990486.542047,1392899.463264 4990486.542047);194;;3;;;;PEDONALE SAN PAOLO;;;SU AREA PEDONALE;123;;0;;;;;;;0;;DA VIA ISONZO A VIA ISSIGLIO
LINESTRING (1392917.525408 4990485.036868,1392994.289517 4990480.019606,1393007.836124 4990476.005797,1393019.877553 4990458.947106,1393005.829219 4990380.176092,1393005.829219 4990380.176092);195;;3;;;;PEDONALE SAN PAOLO;;;;192;;0;;;;;;;0;;DA VIA ISSIGLIO A VIA RODOLFO
LINESTRING (1393521.10203 4990767.006994,1393674.128521 4991016.364917,1393673.125069 4991016.364917);196;;3;;;;VIA DI NANNI;;;SU AREA PEDONALE;294;;0;;;;;;;0;;DA CHIOMENTE A PIAZZA SABOTINO
LINESTRING (1394765.194865 4990789.082947,1394787.270818 4990776.790655,1394788.27427 4990758.728512,1395046.349686 4990755.34186,1395046.349686 4990755.34186);197;;3;;;;CORSO TRIESTE;;;SU AREA PEDONALE;301;;0;;;;;;;0;;DA CORSO DUCA A PIAZZETTA BROSIO
LINESTRING (1394832.488892 4990758.101354,1394832.488892 4990734.520223,1394824.461272 4990714.451175,1394803.890498 4990695.887305,1394797.869784 4990690.870043,1394920.792703 4990455.560454,1394920.792703 4990455.560454);198;;3;;;;CORSO TRENTO;;;SU AREA PEDONALE;346;;0;;;;;;;0;;DA CORSO TRIESTE A VIA GALLIANO
LINESTRING (1395086.36235 4990567.947123,1394818.942284 4990709.935639,1394818.942284 4990709.935639);199;;3;;;;CORSO DUCA D'AOSTA;;;SU AREA PEDONALE;303;;0;;;;;;;0;;DA PIAZZALE DUCA A CORSO GALILEO FERRARIS
LINESTRING (1394919.789251 4990456.06218,1394757.731687 4990550.888432,1394755.724783 4990559.919504,1394766.762759 4990582.998909,1394783.319724 4990602.064505,1394820.447463 4990624.140458,1394829.478534 4990630.161172,1394829.478534 4990630.161172);200;;3;;;;VIA ARIMONDI;;;SU AREA PEDONALE;302;;0;;;;;;;0;;DA VIA GALLIANO A CORSO TRENTO
